0.00003    0.124  0.014 
0.00007    0.110  0.009
0.00018    0.094  0.006  
0.00035    0.046  0.003 

0.00007    0.163  0.020
0.00018    0.117  0.011  
0.00035    0.110  0.007 
0.00100    0.062  0.004

0.00018    0.257  0.027  
0.00060    0.159  0.011 
0.00150    0.077  0.007

0.00018    0.384  0.054  
0.00035    0.271  0.027 
0.00100    0.164  0.012
0.00300    0.080  0.007  

0.00035    0.293  0.051
0.00060    0.234  0.027  
0.00150    0.196  0.012 
0.00300    0.115  0.010

0.00060    0.487  0.058  
0.00100    0.352  0.027 
0.00150    0.267  0.019
0.00600    0.111  0.008  

0.00150    0.303  0.046 
0.00300    0.259  0.026
0.01200    0.109  0.011  

0.00300    0.214  0.054 
0.00600    0.287  0.041
0.03000    0.065  0.012 

0.01200    0.338  0.065
0.03000    0.180  0.041  
 x          y   +- dy   +- dsys
 x = X
 y = F2(C=CHARM)

  Phys. Rev. D69 (2004) 012004
  http://www-zeus.desy.de/physics/hfla/public/PublicResults/searchdbpublic.php
