  Bin  iJet  MuRBin     q2min     q2max    Pt_min    Pt_max   BinSize       Sigma   stat(%)  syst+(%)  syst-(%)   tot+(%)   tot-(%)  Uncorr+  Uncorr-   Model+   Model-   RW402+   RW402-     JES+     JES-    RCES+    RCES-    ElEn+    ElEn-    ElTh+    ElTh-    Lumi+    Lumi-    LArN+    LArN-     PHP+     PHP-  PHPUnc+  PHPUnc-  StatMC+  StatMC-  RadErr+  RadErr-   HadCorr    HadErr   RadCorr          
    1     2       1       5.5       8.0       5.0       7.0      5.00    2.99e+02      3.31     14.15    -14.01     14.55    -14.41     1.00     1.00    -7.16     7.16     6.14    -6.14     5.44    -5.73    -7.88     8.22    -0.34     1.00     0.84    -0.20     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     2.10     2.10     0.55    -0.55     0.865      4.97     1.017
    2     2       1       5.5       8.0       7.0      11.0     10.00    1.85e+02      2.00      7.36     -7.34      7.64     -7.62     1.00     1.00    -4.96     4.96     3.93    -3.93    -1.96     1.96     0.19     0.54     0.45    -0.50    -0.08    -0.02     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.00     1.00     1.06    -1.06     0.896      3.85     1.023
    3     2       3       5.5       8.0      11.0      17.0     15.00    3.97e+01      2.81      7.48     -7.41      8.01     -7.94     1.00     1.00    -4.38     4.38     3.33    -3.33    -3.75     3.94     0.61    -0.82     0.26    -0.29    -0.25    -0.10     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.08     1.08     0.96    -0.96     0.933      2.80     1.021
    4     2       5       5.5       8.0      17.0      25.0     20.00    6.65e+00      5.90      7.00     -5.81      9.21     -8.34     1.00     1.00    -2.14     2.14     1.02    -1.02    -3.71     5.41     0.41    -0.51    -0.19     0.10     0.13    -0.43     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     2.13     2.13     1.32    -1.32     0.954      2.32     1.015
    5     2       7       5.5       8.0      25.0      35.0     25.00    1.14e+00     12.68      9.14     -8.42     16.05    -15.66     1.00     1.00     4.87    -4.87    -2.13     2.13    -1.64     3.99     1.83    -1.88     0.23     0.06    -0.93     0.53     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     4.95     4.95     1.88    -1.88     0.942      1.19     1.041
    6     2       8       5.5       8.0      35.0      50.0     37.50    2.14e-01     21.65     19.19    -21.21     29.61    -30.96     1.00     1.00   -11.91    11.91    10.61   -10.61    -9.14    -0.16     0.97    -1.51     0.80     0.34    -0.21     1.68     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     9.39     9.39     3.69    -3.69     0.969      3.01     1.042
    7     2       1       8.0      11.0       5.0       7.0      6.00    2.55e+02      3.00      8.79     -8.44      9.30     -8.98     1.00     1.00     1.17    -1.17    -0.95     0.95     3.96    -4.02    -6.45     6.88     1.14    -0.77     0.43     0.32     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.59     1.59     0.63    -0.63     0.873      4.31     1.014
    8     2       2       8.0      11.0       7.0      11.0     12.00    1.49e+02      2.09      4.09     -4.07      4.61     -4.59     1.00     1.00    -1.02     1.02     0.68    -0.68    -1.81     2.16    -1.62     1.08     0.02     0.05     0.91    -0.76     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.92     0.92     0.32    -0.32     0.903      3.54     1.024
    9     2       3       8.0      11.0      11.0      17.0     18.00    3.20e+01      2.98      8.09     -8.15      8.65     -8.70     1.00     1.00    -4.59     4.59     4.43    -4.43    -4.03     3.88     0.15    -0.37     0.26    -0.29     0.68    -0.45     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     0.98     0.98     0.78    -0.78     0.936      2.82     1.025
   10     2       5       8.0      11.0      17.0      25.0     24.00    5.05e+00      6.72     10.25    -10.54     12.33    -12.57     1.00     1.00    -8.21     8.21     2.92    -2.92    -4.58     3.79     1.33    -1.20     0.92    -0.74     0.02     0.07     2.50     2.50     0.60     0.60     0.00     0.00     0.00     0.00     1.96     1.96     0.86    -0.86     0.952      2.03     1.021
