xp Q2 beta xp*sigmaD(3) unc sys tot
0.0003 3.5 0.1700 0.02481 18.3 6.5 19.4
0.0003 3.5 0.2700 0.02327 4.4 4.7 6.4
0.0003 3.5 0.4300 0.03720 3.9 3.9 5.5
0.0003 3.5 0.6700 0.04880 4.2 4.5 6.1
0.0003 5.0 0.2700 0.03142 6.1 5.2 8.0
0.0003 5.0 0.4300 0.04465 4.6 4.2 6.2
0.0003 5.0 0.6700 0.05977 4.7 4.7 6.6
0.0003 6.5 0.4300 0.05005 6.0 5.1 7.8
0.0003 6.5 0.6700 0.06865 5.4 4.8 7.2
0.0003 8.5 0.4300 0.03764 18.1 6.3 19.2
0.0003 8.5 0.6700 0.06919 6.3 5.0 8.1
0.0003 12.0 0.6700 0.06314 1.9 5.0 5.3
0.0010 3.5 0.0500 0.01945 15.7 7.3 17.3
0.0010 3.5 0.0800 0.02203 4.4 5.1 6.7
0.0010 3.5 0.1300 0.02087 4.2 4.2 5.9
0.0010 3.5 0.2000 0.02188 4.3 4.1 6.0
0.0010 3.5 0.3200 0.02622 4.1 3.9 5.7
0.0010 3.5 0.5000 0.02897 6.2 3.3 7.0
0.0010 3.5 0.8000 0.04622 7.9 4.6 9.1
0.0010 5.0 0.0800 0.02777 6.1 4.3 7.4
0.0010 5.0 0.1300 0.02411 4.7 4.3 6.4
0.0010 5.0 0.2000 0.02495 4.5 4.1 6.1
0.0010 5.0 0.3200 0.03026 4.3 4.0 5.9
0.0010 5.0 0.5000 0.03570 4.3 3.3 5.4
0.0010 5.0 0.8000 0.04197 5.4 5.4 7.6
0.0010 6.5 0.1300 0.02825 5.8 3.9 7.0
0.0010 6.5 0.2000 0.03057 5.0 4.1 6.5
0.0010 6.5 0.3200 0.03104 5.1 3.7 6.2
0.0010 6.5 0.5000 0.03740 4.7 3.5 5.9
0.0010 6.5 0.8000 0.05006 5.3 5.2 7.4
0.0010 8.5 0.1300 0.03321 8.0 4.9 9.4
0.0010 8.5 0.2000 0.03233 5.2 3.8 6.4
0.0010 8.5 0.3200 0.03332 4.9 3.6 6.1
0.0010 8.5 0.5000 0.03871 5.3 3.7 6.4
0.0010 8.5 0.8000 0.04488 6.1 4.6 7.6
0.0010 12.0 0.2000 0.03227 1.8 3.3 3.8
0.0010 12.0 0.3200 0.03650 1.9 3.2 3.7
0.0010 12.0 0.5000 0.04438 2.3 3.2 3.9
0.0010 12.0 0.8000 0.05118 2.7 4.4 5.1
0.0010 15.0 0.2000 0.04107 11.8 4.5 12.6
0.0010 15.0 0.3200 0.03840 1.8 3.2 3.6
0.0010 15.0 0.5000 0.04522 2.1 3.3 3.9
0.0010 15.0 0.8000 0.04816 2.7 4.2 5.0
0.0010 20.0 0.3200 0.03892 1.9 3.2 3.8
0.0010 20.0 0.5000 0.04528 2.1 3.2 3.9
0.0010 20.0 0.8000 0.04510 2.7 4.1 4.9
0.0010 25.0 0.3200 0.05186 24.0 4.6 24.4
0.0010 25.0 0.5000 0.04764 2.0 3.4 4.0
0.0010 25.0 0.8000 0.04499 2.7 3.9 4.8
0.0010 35.0 0.5000 0.04718 2.6 3.6 4.4
0.0010 35.0 0.8000 0.04344 3.1 4.0 5.1
0.0010 45.0 0.8000 0.04048 3.7 4.5 5.8
0.0030 3.5 0.0170 0.01604 17.3 7.1 18.6
0.0030 3.5 0.0270 0.01785 5.0 4.6 6.8
0.0030 3.5 0.0430 0.01585 4.9 3.4 6.0
0.0030 3.5 0.0670 0.01758 4.8 3.6 6.0
0.0030 3.5 0.1100 0.01841 7.3 3.3 8.0
0.0030 3.5 0.1700 0.01678 7.7 3.3 8.4
0.0030 3.5 0.2700 0.02215 9.0 4.6 10.1
0.0030 5.0 0.0270 0.02143 7.0 4.7 8.4
0.0030 5.0 0.0430 0.02163 5.3 3.9 6.5
0.0030 5.0 0.0670 0.01994 5.1 3.5 6.2
0.0030 5.0 0.1100 0.01834 5.1 3.4 6.1
0.0030 5.0 0.1700 0.02068 4.9 3.5 6.0
0.0030 5.0 0.2700 0.02472 4.6 3.5 5.8
0.0030 5.0 0.4300 0.02922 11.2 5.6 12.5
0.0030 6.5 0.0430 0.02452 6.4 3.8 7.5
0.0030 6.5 0.0670 0.02060 5.9 3.4 6.8
0.0030 6.5 0.1100 0.02079 5.7 3.4 6.7
0.0030 6.5 0.1700 0.01880 5.4 3.3 6.3
0.0030 6.5 0.2700 0.02256 5.2 3.4 6.2
0.0030 6.5 0.4300 0.02785 5.2 3.5 6.3
0.0030 8.5 0.0430 0.02783 9.2 4.2 10.1
0.0030 8.5 0.0670 0.02460 6.1 3.4 6.9
0.0030 8.5 0.1100 0.02097 5.9 3.5 6.8
0.0030 8.5 0.1700 0.02308 5.3 3.3 6.3
0.0030 8.5 0.2700 0.02265 5.1 3.3 6.1
0.0030 8.5 0.4300 0.03263 4.9 3.3 5.9
0.0030 8.5 0.6700 0.04341 6.5 3.7 7.4
0.0030 12.0 0.0670 0.02712 2.3 3.4 4.1
0.0030 12.0 0.1100 0.02698 2.2 3.3 3.9
0.0030 12.0 0.1700 0.02655 2.2 3.1 3.8
0.0030 12.0 0.2700 0.02751 2.3 3.2 4.0
0.0030 12.0 0.4300 0.03388 2.3 3.2 4.0
0.0030 12.0 0.6700 0.04193 2.6 3.3 4.2
0.0030 15.0 0.0670 0.03764 14.2 4.7 14.9
0.0030 15.0 0.1100 0.02780 2.1 3.4 3.9
0.0030 15.0 0.1700 0.02732 2.1 3.2 3.8
0.0030 15.0 0.2700 0.02903 2.0 3.1 3.7
0.0030 15.0 0.4300 0.03449 2.2 3.1 3.8
0.0030 15.0 0.6700 0.04031 2.5 3.2 4.1
0.0030 20.0 0.1100 0.02754 2.3 3.3 4.1
0.0030 20.0 0.1700 0.02996 2.0 3.2 3.8
0.0030 20.0 0.2700 0.03194 1.9 3.0 3.6
0.0030 20.0 0.4300 0.03618 2.0 3.1 3.7
0.0030 20.0 0.6700 0.03927 2.4 3.3 4.1
0.0030 25.0 0.1100 0.03645 20.2 5.4 20.9
0.0030 25.0 0.1700 0.03156 2.1 3.0 3.7
0.0030 25.0 0.2700 0.03205 1.9 3.0 3.6
