in	Q2	x	y	σ	F	δstat	δsys	δtot	δunc	δres	δeffCJC	δeffCST	δfragC	δfragB	δuds	δφq	δhadE	δgp	δF2
c1	5.0	0.00020	0.246	0.148	0.149	9.8	14.6	17.6	3.3	1.9	-1.9	-2.8	-3.5	0.3	-7.7	4.6	-1.2	3.1	1.0
c2	8.5	0.00050	0.167	0.176	0.176	6.5	13.3	14.8	2.0	1.9	-1.3	-2.0	-2.8	0.0	-10.0	1.8	-1.2	0.4	1.0
c3	8.5	0.00032	0.262	0.186	0.187	6.4	14.1	15.5	3.8	1.1	-1.0	-1.5	-5.8	0.0	-7.2	2.1	-0.2	3.6	1.0
c4	12.0	0.00130	0.091	0.150	0.150	7.3	17.2	18.7	1.2	1.5	-0.6	-0.9	-2.5	0.1	-15.7	1.7	1.7	0.0	1.0
c5	12.0	0.00080	0.148	0.177	0.177	5.2	15.0	15.9	1.3	1.0	-0.8	-1.3	-2.5	0.0	-13.5	1.2	-0.7	0.2	1.1
c6	12.0	0.00050	0.236	0.240	0.242	4.9	10.1	11.2	1.3	2.0	-1.0	-1.4	-3.0	0.0	-5.6	1.7	-1.7	0.6	1.0
c7	12.0	0.00032	0.369	0.273	0.277	5.6	12.6	13.8	1.4	2.1	-0.8	-1.3	-5.6	0.1	-5.8	1.6	-0.3	3.1	1.1
c8	20.0	0.00200	0.098	0.187	0.188	4.0	12.0	12.7	1.6	1.4	-0.4	-0.8	-2.2	0.2	-9.9	1.2	2.2	0.0	1.1
c9	20.0	0.00130	0.151	0.219	0.219	4.6	11.0	11.9	1.2	1.2	-0.9	-1.4	-2.2	0.0	-8.7	1.6	0.7	0.2	1.1
c10	20.0	0.00080	0.246	0.274	0.276	4.5	9.2	10.2	1.2	1.5	-1.0	-1.4	-2.6	0.0	-5.8	1.4	-0.8	0.5	1.0
c11	20.0	0.00050	0.394	0.281	0.287	4.9	12.9	13.8	1.5	1.6	-0.5	-0.7	-5.9	0.2	-6.7	1.7	-1.3	3.2	1.1
c12	35.0	0.00320	0.108	0.200	0.200	6.9	10.7	12.7	1.9	2.4	-0.6	-0.8	-1.8	0.3	-8.8	1.2	3.0	0.1	1.1
c13	35.0	0.00200	0.172	0.220	0.220	6.1	10.1	11.8	1.5	1.9	-0.7	-1.0	-1.9	0.0	-7.9	2.5	-0.3	0.2	1.0
c14	35.0	0.00130	0.265	0.295	0.297	5.4	8.1	9.7	1.2	2.2	-0.7	-1.0	-2.0	0.0	-5.4	1.4	-0.4	0.3	1.0
c15	35.0	0.00080	0.431	0.349	0.360	6.1	11.1	12.7	1.3	0.6	-0.5	-0.8	-4.6	0.1	-6.4	2.0	-1.0	1.8	1.1
c16	60.0	0.00500	0.118	0.198	0.199	5.1	9.5	10.8	1.8	1.9	-0.5	-0.8	-1.7	0.7	-6.8	2.3	1.2	0.1	1.1
c17	60.0	0.00320	0.185	0.263	0.264	5.5	6.3	8.4	1.1	1.5	-0.7	-1.1	-1.5	0.0	-3.3	2.6	1.3	0.0	1.0
c18	60.0	0.00200	0.295	0.335	0.339	4.3	7.7	8.8	1.1	1.8	-0.5	-0.8	-1.5	0.1	-5.8	1.7	-0.3	0.1	1.0
c19	60.0	0.00130	0.454	0.296	0.307	8.3	12.6	15.1	1.2	1.6	-0.1	-0.2	-3.7	0.2	-9.6	1.5	-1.3	1.0	1.0
c20	120.0	0.01300	0.091	0.133	0.133	9.7	10.2	14.1	2.7	2.6	-0.7	-1.0	-2.2	0.9	-7.7	3.2	1.2	0.0	1.2
c21	120.0	0.00500	0.236	0.218	0.220	6.8	8.8	11.1	1.6	2.5	-0.3	-0.5	-1.2	0.1	-6.6	3.1	0.7	0.0	1.1
c22	120.0	0.00200	0.591	0.351	0.375	8.6	9.5	12.8	3.2	3.3	-0.3	-0.4	-2.7	0.2	-5.1	1.9	0.0	0.9	2.9
c23	200.0	0.01300	0.151	0.160	0.160	7.1	9.5	11.9	2.8	2.1	-1.0	-1.5	-1.8	0.2	-6.5	3.1	1.7	0.0	2.7
c24	200.0	0.00500	0.394	0.237	0.243	8.8	10.2	13.5	3.4	3.3	-0.1	-0.2	-2.0	0.0	-6.2	3.7	0.3	0.5	2.9
c25	300.0	0.02000	0.148	0.117	0.117	14.1	12.0	18.5	3.3	2.6	-0.4	-0.6	-1.3	0.4	-9.3	3.8	1.9	0.0	2.9
c26	300.0	0.00800	0.369	0.273	0.278	9.5	8.4	12.7	3.3	3.6	-0.2	-0.3	-1.1	0.0	-3.4	4.8	-0.1	0.5	2.9
c27	650.0	0.03200	0.200	0.084	0.085	16.7	26.0	30.9	3.8	5.2	-2.2	-3.3	-3.4	0.2	-20.8	10.7	4.5	0.0	3.4
c28	650.0	0.01300	0.492	0.195	0.203	10.8	12.0	16.2	3.7	3.0	-0.1	-0.2	-1.0	0.2	-6.9	6.9	-0.2	0.4	3.3
c29	2000.0	0.05000	0.394	0.059	0.060	28.3	22.9	36.4	6.7	4.0	-1.7	-2.6	-1.2	0.1	-14.1	15.6	0.0	0.2	4.3

