Q2 beta x xp*sigmaD(3) dstat dsys dtot
3.5 0.01 0.00005 0.0170 13.6 6.4 15.0
3.5 0.01 0.00008 0.0217 7.5 6.7 10.1
3.5 0.01 0.00013 0.0215 8.3 8.2 11.7
3.5 0.01 0.00020 0.0191 8.6 9.7 13.0
3.5 0.01 0.00032 0.0195 10.4 15.7 18.8
3.5 0.04 0.00005 0.0143 16.6 7.6 18.2
3.5 0.04 0.00008 0.0186 8.4 3.9 9.3
3.5 0.04 0.00013 0.0168 8.3 5.0 9.7
3.5 0.04 0.00020 0.0166 7.6 3.3 8.2
3.5 0.04 0.00032 0.0165 8.5 4.7 9.7
3.5 0.1 0.00005 0.0173 22.9 8.3 24.4
3.5 0.1 0.00008 0.0196 11.1 7.2 13.2
3.5 0.1 0.00013 0.0210 9.2 4.4 10.2
3.5 0.1 0.00020 0.0185 9.4 4.2 10.3
3.5 0.1 0.00032 0.0178 9.2 3.5 9.9
3.5 0.2 0.00005 0.0261 19.5 12.7 23.3
3.5 0.2 0.00008 0.0253 9.3 10.5 14.0
3.5 0.2 0.00013 0.0289 7.7 10.6 13.2
3.5 0.2 0.00020 0.0234 7.6 5.4 9.3
3.5 0.2 0.00032 0.0222 7.8 4.7 9.1
3.5 0.2 0.00050 0.0191 8.8 4.7 9.9
3.5 0.4 0.00008 0.0402 11.2 9.9 14.9
3.5 0.4 0.00013 0.0360 8.1 7.2 10.9
3.5 0.4 0.00020 0.0349 8.6 8.5 12.1
3.5 0.4 0.00032 0.0347 7.9 5.6 9.7
3.5 0.4 0.00050 0.0290 8.7 6.0 10.6
3.5 0.4 0.00080 0.0306 11.4 9.4 14.7
3.5 0.65 0.00013 0.0594 8.9 7.6 11.7
3.5 0.65 0.00020 0.0459 8.4 12.9 15.4
3.5 0.65 0.00032 0.0397 8.5 10.8 13.7
3.5 0.65 0.00050 0.0350 7.6 8.1 11.1
3.5 0.65 0.00080 0.0407 8.7 5.6 10.3
